Date,Price,Open,High,Low,Vol.,Change %
2021-05-14,1842.19,"1,826.49","1,845.55","1,819.79",,0.86%
2021-05-17,1866.13,"1,843.84","1,868.80","1,841.24",,1.30%
2021-05-18,1868.22,"1,866.59","1,875.40","1,862.94",,0.11%
2021-05-19,1869.57,"1,869.59","1,890.15","1,851.94",,0.07%
2021-05-20,1876.69,"1,869.74","1,884.12","1,863.53",,0.38%
2021-05-21,1880.3,"1,876.84","1,889.85","1,870.01",,0.19%
2021-05-24,1881.07,"1,882.34","1,887.44","1,875.19",,0.04%
2021-05-25,1899.26,"1,880.69","1,900.63","1,872.73",,0.97%
2021-05-26,1896.44,"1,899.49","1,913.15","1,890.34",,-0.15%
2021-05-27,1896.08,"1,896.49","1,903.87","1,888.22",,-0.02%
2021-05-28,1902.64,"1,897.05","1,905.90","1,881.84",,0.35%
2021-05-31,1906.36,"1,903.69","1,911.13","1,901.56",,0.20%
2021-06-01,1900.19,"1,907.53","1,916.84","1,892.28",,-0.32%
2021-06-02,1907.94,"1,900.05","1,909.34","1,894.05",,0.41%
2021-06-03,1870.57,"1,908.09","1,909.89","1,865.11",,-1.96%
2021-06-04,1889.97,"1,871.32","1,896.60","1,856.09",,1.04%
2021-06-07,1899.0,"1,888.49","1,900.41","1,880.88",,0.48%
2021-06-08,1892.82,"1,898.99","1,903.95","1,883.38",,-0.33%
2021-06-09,1888.3,"1,893.49","1,899.40","1,886.58",,-0.24%
2021-06-10,1898.14,"1,888.57","1,900.09","1,869.84",,0.52%
2021-06-11,1876.64,"1,898.42","1,903.30","1,874.07",,-1.13%
2021-06-14,1865.99,"1,874.59","1,878.21","1,844.57",,-0.57%
2021-06-15,1858.69,"1,866.26","1,869.67","1,851.28",,-0.39%
2021-06-16,1811.95,"1,858.96","1,862.43","1,804.19",,-2.51%
2021-06-17,1773.31,"1,812.18","1,825.58","1,766.88",,-2.13%
2021-06-18,1763.34,"1,772.73","1,797.24","1,761.04",,-0.56%
2021-06-21,1782.95,"1,764.44","1,786.75","1,764.44",,1.11%
2021-06-22,1778.51,"1,783.23","1,790.42","1,771.99",,-0.25%
2021-06-23,1778.73,"1,778.80","1,795.18","1,773.13",,0.01%
2021-06-24,1775.18,"1,779.01","1,788.56","1,772.67",,-0.20%
2021-06-25,1780.34,"1,775.46","1,790.60","1,773.27",,0.29%
2021-06-28,1778.18,"1,781.24","1,785.90","1,770.69",,-0.12%
2021-06-29,1761.09,"1,778.44","1,779.24","1,750.11",,-0.96%
2021-06-30,1769.8,"1,761.35","1,774.72","1,752.78",,0.49%
2021-07-01,1776.6,"1,770.06","1,783.07","1,765.47",,0.38%
2021-07-02,1786.79,"1,776.83","1,795.40","1,773.73",,0.57%
